severity,issue_class,subject,issue_type,scan_performed_on,status,insight,detection_method,risk,recommended_action
Moderate,"Domains without ""Always Use HTTPS""",jellyfin.m3tal-media-server.xyz,Insecure configuration,2026-05-03T22:32:43.983464Z,Active,"Domains without ""Always Use HTTPS"". HTTP requests to your host do not redirect to the equivalent HTTPS request.","We've made an HTTP request on port 80 and received a response, but the response was not a 301 redirect to the corresponding HTTPS URL.",Unencrypted data in transit,Enable Always Use HTTPS. Enable Always Use HTTPS in your zone's Cloudflare SSL/TLS Edge Certificates settings.
Moderate,Domains without HSTS,jellyfin.m3tal-media-server.xyz,Insecure configuration,2026-05-03T22:32:43.983466Z,Active,"Domains without HSTS. HTTP Strict Transport Security is a header which allows a website to specify and enforce security policy in client web browsers. This policy enforcement protects secure websites from downgrade attacks, SSL stripping, and cookie hijacking.",We have made HTTP and HTTPS requests to your hostname to check for the presence of the Strict-Transport-Security header in the response. We have not detected the correct header in the response.,Unencrypted data in transit,Enable HSTS. Enable HSTS in your zone's Cloudflare SSL/TLS Edge Certificates settings.
Moderate,Domains missing TLS Encryption,jellyfin.m3tal-media-server.xyz,Compliance violation,2026-05-03T22:32:43.983468Z,Active,Domains missing TLS Encryption. We have detected that there is no TLS encryption for this host.,"Your host accepts HTTP connections on port 80 but does not accept HTTPS connections on port 443. As a result, we have determined that you do not have TLS encryption set up for this host.",Unencrypted data in transit,Set up TLS encryption for your host. Update the SSL/TLS encryption mode to Full (strict) for this zone.
Moderate,Domains without HSTS,jellyseerr.m3tal-media-server.xyz,Insecure configuration,2026-05-03T22:32:43.983058Z,Active,"Domains without HSTS. HTTP Strict Transport Security is a header which allows a website to specify and enforce security policy in client web browsers. This policy enforcement protects secure websites from downgrade attacks, SSL stripping, and cookie hijacking.",We have made HTTP and HTTPS requests to your hostname to check for the presence of the Strict-Transport-Security header in the response. We have not detected the correct header in the response.,Unencrypted data in transit,Enable HSTS. Enable HSTS in your zone's Cloudflare SSL/TLS Edge Certificates settings.
Moderate,Domains missing TLS Encryption,jellyseerr.m3tal-media-server.xyz,Compliance violation,2026-05-03T22:32:43.983059Z,Active,Domains missing TLS Encryption. We have detected that there is no TLS encryption for this host.,"Your host accepts HTTP connections on port 80 but does not accept HTTPS connections on port 443. As a result, we have determined that you do not have TLS encryption set up for this host.",Unencrypted data in transit,Set up TLS encryption for your host. Update the SSL/TLS encryption mode to Full (strict) for this zone.
Moderate,"Domains without ""Always Use HTTPS""",m3tal-media-server.xyz,Insecure configuration,2026-05-03T22:32:43.982682Z,Active,"Domains without ""Always Use HTTPS"". HTTP requests to your host do not redirect to the equivalent HTTPS request.","We've made an HTTP request on port 80 and received a response, but the response was not a 301 redirect to the corresponding HTTPS URL.",Unencrypted data in transit,Enable Always Use HTTPS. Enable Always Use HTTPS in your zone's Cloudflare SSL/TLS Edge Certificates settings.
Moderate,Domains without HSTS,m3tal-media-server.xyz,Insecure configuration,2026-05-03T22:32:43.982684Z,Active,"Domains without HSTS. HTTP Strict Transport Security is a header which allows a website to specify and enforce security policy in client web browsers. This policy enforcement protects secure websites from downgrade attacks, SSL stripping, and cookie hijacking.",We have made HTTP and HTTPS requests to your hostname to check for the presence of the Strict-Transport-Security header in the response. We have not detected the correct header in the response.,Unencrypted data in transit,Enable HSTS. Enable HSTS in your zone's Cloudflare SSL/TLS Edge Certificates settings.
Moderate,Domains missing TLS Encryption,m3tal-media-server.xyz,Compliance violation,2026-05-03T22:32:43.98269Z,Active,Domains missing TLS Encryption. We have detected that there is no TLS encryption for this host.,"Your host accepts HTTP connections on port 80 but does not accept HTTPS connections on port 443. As a result, we have determined that you do not have TLS encryption set up for this host.",Unencrypted data in transit,Set up TLS encryption for your host. Update the SSL/TLS encryption mode to Full (strict) for this zone.
Moderate,Domains without HSTS,m3tal.m3tal-media-server.xyz,Insecure configuration,2026-05-03T22:32:43.983573Z,Active,"Domains without HSTS. HTTP Strict Transport Security is a header which allows a website to specify and enforce security policy in client web browsers. This policy enforcement protects secure websites from downgrade attacks, SSL stripping, and cookie hijacking.",We have made HTTP and HTTPS requests to your hostname to check for the presence of the Strict-Transport-Security header in the response. We have not detected the correct header in the response.,Unencrypted data in transit,Enable HSTS. Enable HSTS in your zone's Cloudflare SSL/TLS Edge Certificates settings.
Moderate,Domains missing TLS Encryption,m3tal.m3tal-media-server.xyz,Compliance violation,2026-05-03T22:32:43.983574Z,Active,Domains missing TLS Encryption. We have detected that there is no TLS encryption for this host.,"Your host accepts HTTP connections on port 80 but does not accept HTTPS connections on port 443. As a result, we have determined that you do not have TLS encryption set up for this host.",Unencrypted data in transit,Set up TLS encryption for your host. Update the SSL/TLS encryption mode to Full (strict) for this zone.
Moderate,"Domains without ""Always Use HTTPS""",recyclarr.m3tal-media-server.xyz,Insecure configuration,2026-05-03T22:32:43.983163Z,Active,"Domains without ""Always Use HTTPS"". HTTP requests to your host do not redirect to the equivalent HTTPS request.","We've made an HTTP request on port 80 and received a response, but the response was not a 301 redirect to the corresponding HTTPS URL.",Unencrypted data in transit,Enable Always Use HTTPS. Enable Always Use HTTPS in your zone's Cloudflare SSL/TLS Edge Certificates settings.
Moderate,Domains without HSTS,recyclarr.m3tal-media-server.xyz,Insecure configuration,2026-05-03T22:32:43.983165Z,Active,"Domains without HSTS. HTTP Strict Transport Security is a header which allows a website to specify and enforce security policy in client web browsers. This policy enforcement protects secure websites from downgrade attacks, SSL stripping, and cookie hijacking.",We have made HTTP and HTTPS requests to your hostname to check for the presence of the Strict-Transport-Security header in the response. We have not detected the correct header in the response.,Unencrypted data in transit,Enable HSTS. Enable HSTS in your zone's Cloudflare SSL/TLS Edge Certificates settings.
Moderate,Domains missing TLS Encryption,recyclarr.m3tal-media-server.xyz,Compliance violation,2026-05-03T22:32:43.983166Z,Active,Domains missing TLS Encryption. We have detected that there is no TLS encryption for this host.,"Your host accepts HTTP connections on port 80 but does not accept HTTPS connections on port 443. As a result, we have determined that you do not have TLS encryption set up for this host.",Unencrypted data in transit,Set up TLS encryption for your host. Update the SSL/TLS encryption mode to Full (strict) for this zone.
Moderate,"Domains without ""Always Use HTTPS""",tdarr.m3tal-media-server.xyz,Insecure configuration,2026-05-03T22:32:43.982935Z,Active,"Domains without ""Always Use HTTPS"". HTTP requests to your host do not redirect to the equivalent HTTPS request.","We've made an HTTP request on port 80 and received a response, but the response was not a 301 redirect to the corresponding HTTPS URL.",Unencrypted data in transit,Enable Always Use HTTPS. Enable Always Use HTTPS in your zone's Cloudflare SSL/TLS Edge Certificates settings.
Moderate,Domains without HSTS,tdarr.m3tal-media-server.xyz,Insecure configuration,2026-05-03T22:32:43.982937Z,Active,"Domains without HSTS. HTTP Strict Transport Security is a header which allows a website to specify and enforce security policy in client web browsers. This policy enforcement protects secure websites from downgrade attacks, SSL stripping, and cookie hijacking.",We have made HTTP and HTTPS requests to your hostname to check for the presence of the Strict-Transport-Security header in the response. We have not detected the correct header in the response.,Unencrypted data in transit,Enable HSTS. Enable HSTS in your zone's Cloudflare SSL/TLS Edge Certificates settings.
Moderate,Domains missing TLS Encryption,tdarr.m3tal-media-server.xyz,Compliance violation,2026-05-03T22:32:43.982938Z,Active,Domains missing TLS Encryption. We have detected that there is no TLS encryption for this host.,"Your host accepts HTTP connections on port 80 but does not accept HTTPS connections on port 443. As a result, we have determined that you do not have TLS encryption set up for this host.",Unencrypted data in transit,Set up TLS encryption for your host. Update the SSL/TLS encryption mode to Full (strict) for this zone.
Moderate,"Domains without ""Always Use HTTPS""",traefik.m3tal-media-server.xyz,Insecure configuration,2026-05-03T22:32:43.983007Z,Active,"Domains without ""Always Use HTTPS"". HTTP requests to your host do not redirect to the equivalent HTTPS request.","We've made an HTTP request on port 80 and received a response, but the response was not a 301 redirect to the corresponding HTTPS URL.",Unencrypted data in transit,Enable Always Use HTTPS. Enable Always Use HTTPS in your zone's Cloudflare SSL/TLS Edge Certificates settings.
Moderate,Domains without HSTS,traefik.m3tal-media-server.xyz,Insecure configuration,2026-05-03T22:32:43.983009Z,Active,"Domains without HSTS. HTTP Strict Transport Security is a header which allows a website to specify and enforce security policy in client web browsers. This policy enforcement protects secure websites from downgrade attacks, SSL stripping, and cookie hijacking.",We have made HTTP and HTTPS requests to your hostname to check for the presence of the Strict-Transport-Security header in the response. We have not detected the correct header in the response.,Unencrypted data in transit,Enable HSTS. Enable HSTS in your zone's Cloudflare SSL/TLS Edge Certificates settings.
Moderate,Domains missing TLS Encryption,traefik.m3tal-media-server.xyz,Compliance violation,2026-05-03T22:32:43.98301Z,Active,Domains missing TLS Encryption. We have detected that there is no TLS encryption for this host.,"Your host accepts HTTP connections on port 80 but does not accept HTTPS connections on port 443. As a result, we have determined that you do not have TLS encryption set up for this host.",Unencrypted data in transit,Set up TLS encryption for your host. Update the SSL/TLS encryption mode to Full (strict) for this zone.
Moderate,"Domains without ""Always Use HTTPS""",watchtower.m3tal-media-server.xyz,Insecure configuration,2026-05-03T22:32:43.983441Z,Active,"Domains without ""Always Use HTTPS"". HTTP requests to your host do not redirect to the equivalent HTTPS request.","We've made an HTTP request on port 80 and received a response, but the response was not a 301 redirect to the corresponding HTTPS URL.",Unencrypted data in transit,Enable Always Use HTTPS. Enable Always Use HTTPS in your zone's Cloudflare SSL/TLS Edge Certificates settings.
